Kategoriya,Sarlavha,Narx,Joy,Sana,Link
Elektronika,Камера наблюдения Hikvision Камеры видеонаблюдения,1 790 000 сум,"Ташкент, Чиланзарский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/kamera-nablyudeniya-hikvision-kamery-videonablyudeniya-ID38kFZ.html
Elektronika,Iphone 13 Pro Max 128 gb mix ideal,6 993 961 сумДоговорная,"Ташкент, Юнусабадский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/iphone-13-pro-max-128-gb-mix-ideal-ID44rxX.html
Elektronika,IPhone 12 pro xotirasi 128Gb battery 89% xolati yaxshi,3 970 000 сум,Фергана,13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/iphone-12-pro-xotirasi-128gb-battery-89-xolati-yaxshi-ID44xn2.html
Elektronika,Пул санедигон апарат сотилади,1 200 000 сум,Фергана,Сегодня в 11:02,https://www.olx.uz/d/obyavlenie/pul-sanedigon-aparat-sotiladi-ID44zos.html
Elektronika,Обогреватель масляный VESTEL Оптом.,826 559 сум,"Ташкент, Чиланзарский район",Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/obogrevatel-maslyanyy-vestel-optom-ID3qBxj.html
Elektronika,Ultra Havo Sovutkich,199 000 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/ultra-havo-sovutkich-ID3eFMq.html
Elektronika,Kassa va Monobloklar sotiladi,5 000 000 сум,Гурлен,Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/kassa-va-monobloklar-sotiladi-ID3Zibj.html
Elektronika,Продам газ плита,850 000 сум,Самарканд,Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/prodam-gaz-plita-ID44zoi.html
Elektronika,ветеринарный холодильник,1 462 374 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/veterinarnyy-holodilnik-ID3Zibp.html
Elektronika,Плойка катта кичик гафри,170 000 сумДоговорная,"Ташкент, Сергелийский район",Сегодня в 11:01,https://www.olx.uz/d/obyavlenie/ployka-katta-kichik-gafri-ID3REoX.html
Elektronika,Продажа Доставка и Установка КРОНШТЕЙН для Телевизоров ТАШКЕНТ,200 000 сумДоговорная,"Ташкент, Алмазарский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/prodazha-dostavka-i-ustanovka-kronshteyn-dlya-televizorov-tashkent-ID3lpq7.html
Elektronika,Apple Watch 8.45 mm starlight midnight,3 624 143 сум,"Ташкент, Яккасарайский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/apple-watch-8-45-mm-starlight-midnight-ID43YR1.html
Elektronika,Mini Холодильник Midea компактного типа  Model : MDRD142SLF30 Доставка,2 606 840 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/mini-holodilnik-midea-kompaktnogo-tipa-model-mdrd142slf30-dostavka-ID3I4eH.html
Elektronika,4G камера видеонаблюдения 2 камеры,356 056 сум,"Ташкент, Юнусабадский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/4g-kamera-videonablyudeniya-2-kamery-ID2Y3nm.html
Elektronika,Канальный рекуператор 600 м3/ч,9 537 219 сум,"Ташкент, Мирабадский район",11 июня 2025 г.,https://www.olx.uz/d/obyavlenie/kanalnyy-rekuperator-600-m3-ch-ID395cx.html
Elektronika,Apple AirPods Pro 2 Type-C new 2024 Original USA,2 403 379 сум,"Ташкент, Мирабадский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/apple-airpods-pro-2-type-c-new-2024-original-usa-ID3TOTm.html
Elektronika,Ipad 11 2025 у Артура в магазе Б17 Hofmann,4 387 121 сумДоговорная,"Ташкент, Яшнабадский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/ipad-11-2025-u-artura-v-magaze-b17-hofmann-ID40mkj.html
Elektronika,Идеал Nintendo Switch Oled 512GB Splatoon Edition,3 179 073 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/ideal-nintendo-switch-oled-512gb-splatoon-edition-ID43DVl.html
Elektronika,Холодильник AlWA компактного типа Мodel: TB-90B Доставка бесплатно,2 098 188 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/holodilnik-alwa-kompaktnogo-tipa-model-tb-90b-dostavka-besplatno-ID443aM.html
Elektronika,Apple Watch 9.41mm PINK,3 751 306 сум,"Ташкент, Яккасарайский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/apple-watch-9-41mm-pink-ID43YQW.html
Elektronika,Kondicioner кондиционер midea alba/ мидеа альба,5 330 000 сум,"Ташкент, Мирабадский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/kondicioner-konditsioner-midea-alba-midea-alba-ID43DRA.html
Elektronika,Продам роутер Air 5450 v3 рабочий,85 000 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/prodam-router-air-5450-v3-rabochiy-ID3zZcK.html
Elektronika,Macbook Air 2020 13 i5/16/256GB,4 450 702 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/macbook-air-2020-13-i5-16-256gb-ID449Cs.html
Elektronika,Mi TV STICK  Ми тв стик. Приставка для тв. Имеется с прошивкой,375 000 сум,"Ташкент, Юнусабадский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/mi-tv-stick-mi-tv-stik-pristavka-dlya-tv-imeetsya-s-proshivkoy-ID3vQVp.html
Elektronika,Redmi note 13 yangi,2 100 000 сум,"Ташкент, Учтепинский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/redmi-note-13-yangi-ID3O2UT.html
Elektronika,Кондиционер Immer оптом и в розницу (рассрочка) 2025 NEW,3 496 980 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/konditsioner-immer-optom-i-v-roznitsu-rassrochka-2025-new-ID40wn1.html
Elektronika,TOKQI M01 3-Axis Gimbal Stabilizer,700 000 сумДоговорная,Карши,12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/tokqi-m01-3-axis-gimbal-stabilizer-ID44g0u.html
Elektronika,СКИДКА! Hyperx Cloud 3 Wired Проводные Наушники/Гарнитура (1шт),1 335 211 сум,"Ташкент, Яккасарайский район",09 июня 2025 г.,https://www.olx.uz/d/obyavlenie/skidka-hyperx-cloud-3-wired-provodnye-naushniki-garnitura-1sht-ID3N3eF.html
Elektronika,Рация Motorola T42 TRIPLE,700 000 сум,"Ташкент, Мирзо-Улугбекский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/ratsiya-motorola-t42-triple-ID25Zvy.html
Elektronika,Кондиционер ZIFFLER  Inverter Black/ White ОПТОМ склад  2025 NEW,3 496 980 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/konditsioner-ziffler-inverter-black-white-optom-sklad-2025-new-ID40wHl.html
Elektronika,Кондиционеры FUJIAIRE 9/12 Invertor подробно в описании 2025 NEW,3 433 399 сумДоговорная,"Ташкент, Чиланзарский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/konditsionery-fujiaire-9-12-invertor-podrobno-v-opisanii-2025-new-ID40wE0.html
Elektronika,Huawei nova 9 SE,2 500 000 сум,Самарканд,Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/huawei-nova-9-se-ID3REoA.html
Elektronika,Интерактивный инфокиоск FullHD Android Windows 32/43/55 ДОСТАВКА ЕСТЬ,4 832 191 сумДоговорная,"Ташкент, Шайхантахурский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/interaktivnyy-infokiosk-fullhd-android-windows-32-43-55-dostavka-est-ID3Y0fq.html
Elektronika,"Интерактивный инфокиоск все моделы есть 32"" 43"" 55"" ДОСТАВКА БЕСПЛАТНО",5 086 517 сумДоговорная,"Ташкент, Мирабадский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/interaktivnyy-infokiosk-vse-modely-est-32-43-55-dostavka-besplatno-ID3Y0l7.html
Elektronika,Кондиционер AUX есть все модели оптом склад  2025 NEW,3 814 888 сумДоговорная,"Ташкент, Яшнабадский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/konditsioner-aux-est-vse-modeli-optom-sklad-2025-new-ID40wBc.html
Elektronika,i5-14400F RTX3070 8Gb,15 895 366 сум,"Ташкент, Шайхантахурский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/i5-14400f-rtx3070-8gb-ID44zo3.html
Elektronika,Кондиционер ZIFFLER  склад ОПТОМ и в розницу 2025 NEW,3 496 980 сумДоговорная,"Ташкент, Бектемирский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/konditsioner-ziffler-sklad-optom-i-v-roznitsu-2025-new-ID40wlD.html
Elektronika,Самбуфер и колонки,250 000 сумДоговорная,Самарканд,Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/sambufer-i-kolonki-ID44zo1.html
Elektronika,Холодильник ( Музлатгич) сотилади,1 950 000 сумДоговорная,Карши,Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/holodilnik-muzlatgich-sotiladi-ID44zo0.html
Elektronika,"Kaktel aparat 2 tali,3 tali kaktel aparad koktel aqarat kaktel oparad",890 140 сум,"Ташкент, Чиланзарский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/kaktel-aparat-2-tali-3-tali-kaktel-aparad-koktel-aqarat-kaktel-oparad-ID43RYv.html
Elektronika,Стабилизатор напряжения SKAT STP-20000,8 138 427 сум,"Ташкент, Чиланзарский район",13 июня 2025 г.,https://www.olx.uz/d/obyavlenie/stabilizator-napryazheniya-skat-stp-20000-ID44vT7.html
Elektronika,Intel Core i7 13700,3 687 725 сум,"Ташкент, Яшнабадский район",12 июня 2025 г.,https://www.olx.uz/d/obyavlenie/intel-core-i7-13700-ID3v5LB.html
Elektronika,Очиститель воздуха Xiaomi Smart Air Purifier оптовая цена 2025 NEW,1 080 885 сумДоговорная,"Ташкент, Мирабадский район",Сегодня в 11:00,https://www.olx.uz/d/obyavlenie/ochistitel-vozduha-xiaomi-smart-air-purifier-optovaya-tsena-2025-new-ID40wsu.html
Elektronika,Toshiba noutbook. Core i3. 4 yadro. 256 gb ssd. Batareykasi yaxshi,2 300 000 сум,Шафиркан,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/toshiba-noutbook-core-i3-4-yadro-256-gb-ssd-batareykasi-yaxshi-ID3VeNn.html
Elektronika,"Кондиционеры WELKIN ""Мульти-сплиты""  Охлаждение разных комнат NEW 2025",1 907 444 сумДоговорная,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/konditsionery-welkin-multi-splity-ohlazhdenie-raznyh-komnat-new-2025-ID3LTnv.html
Elektronika,Холодильник келиштириб бераман холати яхши,1 000 000 сумДоговорная,Хазарасп,Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/holodilnik-kelishtirib-beraman-holati-yahshi-ID3iVbD.html
Elektronika,Honor Magic 7 pro 512gb глобал,13 987 922 сум,"Ташкент, Мирзо-Улугбекский район",Сегодня в 10:59,https://www.olx.uz/d/obyavlenie/honor-magic-7-pro-512gb-global-ID3TCsI.html
